FNAME,Idle,UI_Idle,Stand_Aim,Walk_Blend,Walk_Aim,Crouch_Blend,Crouch_Aim,Run_Blend,Sprint Blend,Reload,Reload_Idle,Reload_Crouch,Stand_Shooting,Shoot_Aim,Shoot_Crouch,ProneBlend,ProneAim,ProneReload,Prone Shoot,Prone Idle
ASR_AKM,Idle_ASR_AK,UI_Idle_ASR_M4,Stand_Aim_ASR_M4,Walk_Blend_ASR_M4,Walk_Aim_ASR_M4,Crouch_Blend_ASR_AK,Crouch_Aim_ASR_M4,Run_Blend_ASR_M4FFH,Sprint_Blend_ASR_M4,Reload_Walk_ASR_AK_01,Reload_Idle_ASR_AK_01,Reload_Crouch_ASR_AK_01,Stand_Shooting_ASR_AK,Zoom_ASR_M4_Fire,Stand_Shooting_ASR_AK,Prone_Blend_ASR_M4,Prone_Aim_ASR_M4,Reload_Prone_ASR_AK_01,Stand_Shooting_ASR_AK,Prone_Idle_ASR_M4
ASR_AK74M,Idle_ASR_AK,UI_Idle_ASR_M4,Stand_Aim_ASR_M4,Walk_Blend_ASR_M4,Walk_Aim_ASR_M4,Crouch_Blend_ASR_AK,Crouch_Aim_ASR_M4,Run_Blend_ASR_M4FFH,Sprint_Blend_ASR_M4,Reload_Walk_ASR_AK_01,Reload_Idle_ASR_AK_01,Reload_Crouch_ASR_AK_01,Stand_Shooting_ASR_AK,Zoom_ASR_M4_Fire,Stand_Shooting_ASR_AK,Prone_Blend_ASR_M4,Prone_Aim_ASR_M4,Reload_Prone_ASR_AK_01,Stand_Shooting_ASR_AK,Prone_Idle_ASR_M4
ASR_AKS74U,Idle_ASR_AK,UI_Idle_ASR_M4,Stand_Aim_ASR_M4,Walk_Blend_ASR_M4,Walk_Aim_ASR_M4,Crouch_Blend_ASR_AK,Crouch_Aim_ASR_M4,Run_Blend_ASR_M4FFH,Sprint_Blend_ASR_M4,Reload_Walk_ASR_AK_01,Reload_Idle_ASR_AK_01,Reload_Crouch_ASR_AK_01,Stand_Shooting_ASR_AK,Zoom_ASR_M4_Fire,Stand_Shooting_ASR_AK,Prone_Blend_ASR_M4,Prone_Aim_ASR_M4,Reload_Prone_ASR_AK_01,Stand_Shooting_ASR_AK,Prone_Idle_ASR_M4
ASR_Fn_scar,Idle_ASR_Fn_scar,UI_Idle_ASR_M4,Stand_Aim_ASR_M4,Walk_Blend_ASR_M4,Walk_Aim_ASR_M4,Crouch_Blend_ASR_Fn_scar,Crouch_Aim_ASR_M4,Run_Blend_ASR_M4FFH,Sprint_Blend_ASR_M4,Reload_Walk_ASR_Fn_scar,Reload_Idle_ASR_Fn_scar,Reload_Crouch_ASR_M4_01,Stand_Shooting_ASR_Fn_scar,Zoom_ASR_M4_Fire,Stand_Shooting_ASR_Fn_scar,Prone_Blend_ASR_M4,Prone_Aim_ASR_M4,Reload_Prone_ASR_M4_01,Stand_Shooting_ASR_AK,Prone_Idle_ASR_M4
ASR_Fn_scar_NightCamo,Idle_ASR_M4FFH,UI_Idle_ASR_M4,Stand_Aim_ASR_M4,Walk_Blend_ASR_M4,Walk_Aim_ASR_M4,Crouch_Blend_ASR_M4FFH,Crouch_Aim_ASR_M4,Run_Blend_ASR_M4FFH,Sprint_Blend_ASR_M4,Reload_Walk_ASR_M4_01,Reload_Idle_ASR_M4_01,Reload_Crouch_ASR_M4_01,Stand_Shooting_ASR_M4FFH,Zoom_ASR_M4_Fire,Stand_Shooting_ASR_M4FFH,Prone_Blend_ASR_M4,Prone_Aim_ASR_M4,Reload_Prone_ASR_M4_01,Stand_Shooting_ASR_AK,Prone_Idle_ASR_M4
ASR_G36,Idle_ASR_M4,UI_Idle_ASR_M4,Stand_Aim_ASR_M4,Walk_Blend_ASR_M4,Walk_Aim_ASR_M4,Crouch_Blend_ASR_M4,Crouch_Aim_ASR_M4,Run_Blend_ASR_M4,Sprint_Blend_ASR_M4,Reload_Walk_ASR_G36,Reload_Idle_ASR_G36,Reload_Crouch_ASR_G36,Stand_Shooting_ASR_M4_Single_02,Zoom_ASR_M4_Fire,Stand_Shooting_ASR_M4_Single_02,Prone_Blend_ASR_M4,Prone_Aim_ASR_M4,Reload_Prone_ASR_G36,Stand_Shooting_ASR_AK,Prone_Idle_ASR_M4
ASR_M16,Idle_ASR_M4FFH,UI_Idle_ASR_M4,Stand_Aim_ASR_M4,Walk_Blend_ASR_M4,Walk_Aim_ASR_M4,Crouch_Blend_ASR_M4FFH,Crouch_Aim_ASR_M4,Run_Blend_ASR_M4FFH,Sprint_Blend_ASR_M4,Reload_Walk_ASR_M4_01,Reload_Idle_ASR_M4_01,Reload_Crouch_ASR_M4_01,Stand_Shooting_ASR_M4FFH,Zoom_ASR_M4_Fire,Stand_Shooting_ASR_M4FFH,Prone_Blend_ASR_M4,Prone_Aim_ASR_M4,Reload_Prone_ASR_M4_01,Stand_Shooting_ASR_AK,Prone_Idle_ASR_M4
ASR_Mossada,Idle_ASR_M4FFH,UI_Idle_ASR_M4,Stand_Aim_ASR_M4,Walk_Blend_ASR_M4,Walk_Aim_ASR_M4,Crouch_Blend_ASR_M4FFH,Crouch_Aim_ASR_M4,Run_Blend_ASR_M4FFH,Sprint_Blend_ASR_M4,Reload_Walk_ASR_Mossada,Reload_Idle_ASR_Mossada,Reload_Crouch_ASR_M4_01,Stand_Shooting_ASR_M4FFH,Zoom_ASR_M4_Fire,Stand_Shooting_ASR_M4FFH,Prone_Blend_ASR_M4,Prone_Aim_ASR_M4,Reload_Prone_ASR_M4_01,Stand_Shooting_ASR_AK,Prone_Idle_ASR_M4
ASR_M4FFH,Idle_ASR_M4FFH,UI_Idle_ASR_M4,Stand_Aim_ASR_M4,Walk_Blend_ASR_M4,Walk_Aim_ASR_M4,Crouch_Blend_ASR_M4FFH,Crouch_Aim_ASR_M4,Run_Blend_ASR_M4FFH,Sprint_Blend_ASR_M4,Reload_Walk_ASR_M4_01,Reload_Idle_ASR_M4_01,Reload_Crouch_ASR_M4_01,Stand_Shooting_ASR_M4FFH,Zoom_ASR_M4_Fire,Stand_Shooting_ASR_M4FFH,Prone_Blend_ASR_M4,Prone_Aim_ASR_M4,Reload_Prone_ASR_M4_01,Stand_Shooting_ASR_AK,Prone_Idle_ASR_M4
ASR_SIG_SG556,Idle_ASR_M4,UI_Idle_ASR_M4,Stand_Aim_ASR_M4,Walk_Blend_ASR_M4,Walk_Aim_ASR_M4,Crouch_Blend_ASR_M4,Crouch_Aim_ASR_M4,Run_Blend_ASR_M4,Sprint_Blend_ASR_M4,Reload_Walk_ASR_SIG_SG556,Reload_Idle_ASR_SIG_SG556,Reload_Crouch_ASR_M4_01,Stand_Shooting_ASR_M4_Single_02,Zoom_ASR_M4_Fire,Stand_Shooting_ASR_M4_Single_02,Prone_Blend_ASR_M4,Prone_Aim_ASR_M4,Reload_Prone_ASR_M4_01,Stand_Shooting_ASR_AK,Prone_Idle_ASR_M4
